Date,Volume,Open,High,Low,Close
2018-06-06T21:00:00.000000000Z,4822,1.17727,1.17917,1.17705,1.17915
2018-06-07T01:00:00.000000000Z,3676,1.17919,1.17993,1.17840,1.17932
2018-06-07T05:00:00.000000000Z,12524,1.17934,1.18378,1.17899,1.18205
2018-06-07T09:00:00.000000000Z,12323,1.18199,1.18392,1.18127,1.18329
2018-06-07T13:00:00.000000000Z,16839,1.18330,1.18365,1.17985,1.18078
2018-06-07T17:00:00.000000000Z,12028,1.18076,1.18224,1.17955,1.17960
2018-06-07T21:00:00.000000000Z,2680,1.17984,1.18072,1.17909,1.18053
2018-06-08T01:00:00.000000000Z,3233,1.18052,1.18094,1.17919,1.18056
2018-06-08T05:00:00.000000000Z,16056,1.18056,1.18098,1.17584,1.17636
2018-06-08T09:00:00.000000000Z,14724,1.17631,1.17712,1.17263,1.17475
2018-06-08T13:00:00.000000000Z,15341,1.17480,1.17775,1.17400,1.17720
2018-06-08T17:00:00.000000000Z,5746,1.17720,1.17769,1.17635,1.17660
2018-06-10T21:00:00.000000000Z,3063,1.17722,1.17993,1.17701,1.17973
2018-06-11T01:00:00.000000000Z,3557,1.17973,1.18074,1.17895,1.17983
2018-06-11T05:00:00.000000000Z,11170,1.17983,1.18197,1.17832,1.17836
2018-06-11T09:00:00.000000000Z,10943,1.17835,1.17978,1.17746,1.17977
2018-06-11T13:00:00.000000000Z,10283,1.17979,1.18134,1.17800,1.17878
2018-06-11T17:00:00.000000000Z,4056,1.17880,1.17914,1.17812,1.17818
2018-06-11T21:00:00.000000000Z,5793,1.17797,1.17839,1.17405,1.17522
2018-06-12T01:00:00.000000000Z,5666,1.17527,1.17710,1.17428,1.17685
2018-06-12T05:00:00.000000000Z,12285,1.17686,1.18083,1.17557,1.17934
2018-06-12T09:00:00.000000000Z,11948,1.17932,1.18026,1.17716,1.18002
2018-06-12T13:00:00.000000000Z,11558,1.18002,1.18002,1.17726,1.17728
2018-06-12T17:00:00.000000000Z,9665,1.17725,1.17730,1.17324,1.17408
2018-06-12T21:00:00.000000000Z,3617,1.17432,1.17517,1.17400,1.17453
2018-06-13T01:00:00.000000000Z,2272,1.17452,1.17487,1.17391,1.17431
2018-06-13T05:00:00.000000000Z,8094,1.17425,1.17532,1.17292,1.17433
2018-06-13T09:00:00.000000000Z,8746,1.17425,1.17753,1.17380,1.17737
2018-06-13T13:00:00.000000000Z,8831,1.17732,1.17916,1.17659,1.17900
2018-06-13T17:00:00.000000000Z,31566,1.17899,1.18004,1.17243,1.17901
2018-06-13T21:00:00.000000000Z,5031,1.17889,1.18044,1.17852,1.17949
2018-06-14T01:00:00.000000000Z,3550,1.17953,1.18053,1.17892,1.18031
2018-06-14T05:00:00.000000000Z,7629,1.18031,1.18271,1.17967,1.18247
2018-06-14T09:00:00.000000000Z,36000,1.18250,1.18500,1.16841,1.16881
2018-06-14T13:00:00.000000000Z,25090,1.16876,1.16876,1.16177,1.16333
2018-06-14T17:00:00.000000000Z,12011,1.16330,1.16404,1.15611,1.15647
2018-06-14T21:00:00.000000000Z,5309,1.15661,1.15842,1.15544,1.15585
2018-06-15T01:00:00.000000000Z,3032,1.15590,1.15701,1.15588,1.15696
2018-06-15T05:00:00.000000000Z,16320,1.15688,1.15997,1.15423,1.15919
2018-06-15T09:00:00.000000000Z,21292,1.15917,1.16145,1.15585,1.16025
2018-06-15T13:00:00.000000000Z,17941,1.16028,1.16265,1.15956,1.16049
2018-06-15T17:00:00.000000000Z,5731,1.16050,1.16142,1.15997,1.16059
2018-06-17T21:00:00.000000000Z,4137,1.15854,1.16012,1.15766,1.15774
2018-06-18T01:00:00.000000000Z,3395,1.15775,1.15934,1.15754,1.15903
2018-06-18T05:00:00.000000000Z,9894,1.15908,1.15977,1.15648,1.15891
2018-06-18T09:00:00.000000000Z,10673,1.15887,1.16239,1.15882,1.16042
2018-06-18T13:00:00.000000000Z,11949,1.16043,1.16199,1.15949,1.16041
2018-06-18T17:00:00.000000000Z,3860,1.16045,1.16233,1.16024,1.16206
2018-06-18T21:00:00.000000000Z,7120,1.16206,1.16403,1.16151,1.16336
2018-06-19T01:00:00.000000000Z,5720,1.16333,1.16439,1.16233,1.16267
2018-06-19T05:00:00.000000000Z,21144,1.16272,1.16331,1.15407,1.15536
2018-06-19T09:00:00.000000000Z,18191,1.15536,1.15623,1.15303,1.15541
2018-06-19T13:00:00.000000000Z,17291,1.15541,1.15866,1.15496,1.15697
2018-06-19T17:00:00.000000000Z,5543,1.15697,1.15933,1.15674,1.15889
2018-06-19T21:00:00.000000000Z,3848,1.15866,1.15949,1.15754,1.15754
2018-06-20T01:00:00.000000000Z,4749,1.15757,1.15877,1.15666,1.15698
2018-06-20T05:00:00.000000000Z,16232,1.15696,1.15924,1.15321,1.15571
2018-06-20T09:00:00.000000000Z,11618,1.15570,1.15964,1.15557,1.15930
2018-06-20T13:00:00.000000000Z,18914,1.15931,1.15996,1.15656,1.15886
2018-06-20T17:00:00.000000000Z,5398,1.15887,1.15950,1.15730,1.15737
2018-06-20T21:00:00.000000000Z,4452,1.15700,1.15794,1.15682,1.15763
2018-06-21T01:00:00.000000000Z,5691,1.15763,1.15763,1.15559,1.15620
2018-06-21T05:00:00.000000000Z,21031,1.15619,1.15666,1.15163,1.15188
2018-06-21T09:00:00.000000000Z,25098,1.15187,1.16104,1.15070,1.15888
2018-06-21T13:00:00.000000000Z,22012,1.15888,1.16331,1.15746,1.16067
2018-06-21T17:00:00.000000000Z,6581,1.16070,1.16280,1.16004,1.16004
2018-06-21T21:00:00.000000000Z,6208,1.16005,1.16170,1.15977,1.16111
2018-06-22T01:00:00.000000000Z,5546,1.16115,1.16148,1.15997,1.16130
2018-06-22T05:00:00.000000000Z,22573,1.16129,1.16728,1.16129,1.16683
2018-06-22T09:00:00.000000000Z,18441,1.16678,1.16747,1.16313,1.16535
2018-06-22T13:00:00.000000000Z,17782,1.16532,1.16658,1.16167,1.16474
2018-06-22T17:00:00.000000000Z,6121,1.16473,1.16669,1.16460,1.16544
2018-06-24T21:00:00.000000000Z,6228,1.16617,1.16720,1.16510,1.16560
2018-06-25T01:00:00.000000000Z,7531,1.16556,1.16600,1.16455,1.16515
2018-06-25T05:00:00.000000000Z,17784,1.16520,1.16704,1.16277,1.16584
2018-06-25T09:00:00.000000000Z,15370,1.16583,1.17012,1.16384,1.16817
2018-06-25T13:00:00.000000000Z,12740,1.16822,1.17013,1.16707,1.16911
2018-06-25T17:00:00.000000000Z,6177,1.16906,1.17127,1.16906,1.17007
2018-06-25T21:00:00.000000000Z,4811,1.17012,1.17098,1.16971,1.17035
2018-06-26T01:00:00.000000000Z,7363,1.17038,1.17200,1.17003,1.17137
2018-06-26T05:00:00.000000000Z,17503,1.17140,1.17181,1.16687,1.16722
2018-06-26T09:00:00.000000000Z,19330,1.16720,1.16838,1.16504,1.16705
2018-06-26T13:00:00.000000000Z,14720,1.16707,1.16768,1.16491,1.16575
2018-06-26T17:00:00.000000000Z,7466,1.16570,1.16602,1.16341,1.16435
2018-06-26T21:00:00.000000000Z,3830,1.16427,1.16538,1.16427,1.16536
2018-06-27T01:00:00.000000000Z,8073,1.16531,1.16638,1.16488,1.16540
2018-06-27T05:00:00.000000000Z,16004,1.16542,1.16714,1.16227,1.16270
2018-06-27T09:00:00.000000000Z,21776,1.16266,1.16430,1.15934,1.15964
2018-06-27T13:00:00.000000000Z,17152,1.15965,1.16125,1.15739,1.15823
2018-06-27T17:00:00.000000000Z,8761,1.15821,1.15884,1.15396,1.15517
2018-06-27T21:00:00.000000000Z,9463,1.15506,1.15647,1.15506,1.15644
2018-06-28T01:00:00.000000000Z,6828,1.15645,1.15720,1.15592,1.15619
2018-06-28T05:00:00.000000000Z,16711,1.15625,1.15694,1.15265,1.15541
2018-06-28T09:00:00.000000000Z,16796,1.15538,1.16002,1.15524,1.15640
2018-06-28T13:00:00.000000000Z,21139,1.15645,1.15952,1.15498,1.15823
2018-06-28T17:00:00.000000000Z,9728,1.15826,1.15860,1.15500,1.15663
2018-06-28T21:00:00.000000000Z,6991,1.15636,1.15750,1.15575,1.15687
2018-06-29T01:00:00.000000000Z,20535,1.15686,1.16657,1.15638,1.16543
2018-06-29T05:00:00.000000000Z,22723,1.16542,1.16562,1.16118,1.16478
2018-06-29T09:00:00.000000000Z,20704,1.16485,1.16640,1.16342,1.16441
2018-06-29T13:00:00.000000000Z,20887,1.16438,1.16825,1.16268,1.16763
2018-06-29T17:00:00.000000000Z,7976,1.16761,1.16897,1.16631,1.16817
2018-07-01T21:00:00.000000000Z,9247,1.16773,1.16892,1.16585,1.16637
2018-07-02T01:00:00.000000000Z,6504,1.16637,1.16685,1.16476,1.16492
2018-07-02T05:00:00.000000000Z,13655,1.16494,1.16545,1.16256,1.16428
2018-07-02T09:00:00.000000000Z,10261,1.16423,1.16474,1.16156,1.16171
2018-07-02T13:00:00.000000000Z,11404,1.16170,1.16229,1.15907,1.15993
2018-07-02T17:00:00.000000000Z,5788,1.15995,1.16474,1.15993,1.16365
2018-07-02T21:00:00.000000000Z,2924,1.16365,1.16431,1.16326,1.16338
2018-07-03T01:00:00.000000000Z,7918,1.16343,1.16377,1.16197,1.16317
2018-07-03T05:00:00.000000000Z,16082,1.16315,1.16724,1.16258,1.16587
2018-07-03T09:00:00.000000000Z,11222,1.16589,1.16663,1.16427,1.16522
2018-07-03T13:00:00.000000000Z,9832,1.16522,1.16641,1.16411,1.16491
2018-07-03T17:00:00.000000000Z,2738,1.16489,1.16630,1.16431,1.16560
2018-07-03T21:00:00.000000000Z,5559,1.16540,1.16712,1.16537,1.16700
2018-07-04T01:00:00.000000000Z,7121,1.16696,1.16777,1.16593,1.16627
2018-07-04T05:00:00.000000000Z,10263,1.16625,1.16812,1.16354,1.16439
2018-07-04T09:00:00.000000000Z,6424,1.16442,1.16460,1.16297,1.16419
2018-07-04T13:00:00.000000000Z,8890,1.16423,1.16740,1.16364,1.16659
2018-07-04T17:00:00.000000000Z,9473,1.16661,1.16741,1.16512,1.16533
2018-07-04T21:00:00.000000000Z,3406,1.16537,1.16631,1.16524,1.16563
2018-07-05T01:00:00.000000000Z,6572,1.16568,1.16672,1.16539,1.16565
2018-07-05T05:00:00.000000000Z,15679,1.16561,1.17101,1.16493,1.16925
2018-07-05T09:00:00.000000000Z,11082,1.16920,1.17195,1.16811,1.17135
2018-07-05T13:00:00.000000000Z,12611,1.17140,1.17140,1.16905,1.16975
2018-07-05T17:00:00.000000000Z,7127,1.16974,1.16977,1.16711,1.16891
2018-07-05T21:00:00.000000000Z,4189,1.16869,1.16965,1.16867,1.16917
2018-07-06T01:00:00.000000000Z,5962,1.16917,1.16952,1.16791,1.16852
2018-07-06T05:00:00.000000000Z,11673,1.16851,1.17263,1.16834,1.17130
2018-07-06T09:00:00.000000000Z,14119,1.17129,1.17628,1.17019,1.17429
2018-07-06T13:00:00.000000000Z,12999,1.17433,1.17671,1.17314,1.17448
2018-07-06T17:00:00.000000000Z,4304,1.17448,1.17486,1.17379,1.17427
2018-07-08T21:00:00.000000000Z,5076,1.17414,1.17582,1.17393,1.17550
2018-07-09T01:00:00.000000000Z,4360,1.17555,1.17669,1.17494,1.17610
2018-07-09T05:00:00.000000000Z,11374,1.17607,1.17807,1.17494,1.17714
2018-07-09T09:00:00.000000000Z,7810,1.17710,1.17901,1.17617,1.17774
2018-07-09T13:00:00.000000000Z,13988,1.17773,1.17836,1.17381,1.17460
2018-07-09T17:00:00.000000000Z,5672,1.17461,1.17536,1.17316,1.17479
2018-07-09T21:00:00.000000000Z,3989,1.17527,1.17621,1.17456,1.17589
2018-07-10T01:00:00.000000000Z,3835,1.17592,1.17614,1.17393,1.17400
2018-07-10T05:00:00.000000000Z,10689,1.17399,1.17543,1.17208,1.17255
2018-07-10T09:00:00.000000000Z,10904,1.17248,1.17260,1.16895,1.17156
2018-07-10T13:00:00.000000000Z,9840,1.17157,1.17382,1.17034,1.17324
2018-07-10T17:00:00.000000000Z,4748,1.17328,1.17493,1.17313,1.17414
2018-07-10T21:00:00.000000000Z,6784,1.17397,1.17461,1.17234,1.17263
2018-07-11T01:00:00.000000000Z,5327,1.17261,1.17360,1.17219,1.17263
2018-07-11T05:00:00.000000000Z,10608,1.17259,1.17402,1.17078,1.17081
2018-07-11T09:00:00.000000000Z,15855,1.17078,1.17540,1.16943,1.17511
2018-07-11T13:00:00.000000000Z,15187,1.17516,1.17581,1.16964,1.16989
2018-07-11T17:00:00.000000000Z,12701,1.16988,1.16989,1.16649,1.16713
2018-07-11T21:00:00.000000000Z,6792,1.16701,1.16780,1.16679,1.16723
2018-07-12T01:00:00.000000000Z,4378,1.16724,1.16831,1.16706,1.16819
2018-07-12T05:00:00.000000000Z,10920,1.16813,1.16926,1.16710,1.16739
2018-07-12T09:00:00.000000000Z,14141,1.16740,1.16873,1.16488,1.16710
2018-07-12T13:00:00.000000000Z,13040,1.16715,1.16952,1.16664,1.16817
2018-07-12T17:00:00.000000000Z,7083,1.16816,1.16865,1.16658,1.16689
2018-07-12T21:00:00.000000000Z,4989,1.16677,1.16694,1.16537,1.16663
2018-07-13T01:00:00.000000000Z,4491,1.16662,1.16747,1.16563,1.16565
2018-07-13T05:00:00.000000000Z,11142,1.16568,1.16628,1.16119,1.16261
2018-07-13T09:00:00.000000000Z,12423,1.16262,1.16458,1.16156,1.16444
2018-07-13T13:00:00.000000000Z,12917,1.16442,1.16770,1.16368,1.16729
2018-07-13T17:00:00.000000000Z,5247,1.16733,1.16861,1.16656,1.16828
2018-07-15T21:00:00.000000000Z,2857,1.16878,1.16910,1.16750,1.16834
2018-07-16T01:00:00.000000000Z,4050,1.16836,1.16884,1.16788,1.16853
2018-07-16T05:00:00.000000000Z,13708,1.16853,1.17067,1.16847,1.16959
2018-07-16T09:00:00.000000000Z,11336,1.16960,1.17250,1.16927,1.17099
2018-07-16T13:00:00.000000000Z,9733,1.17098,1.17234,1.16935,1.17052
2018-07-16T17:00:00.000000000Z,3198,1.17055,1.17175,1.17049,1.17088
2018-07-16T21:00:00.000000000Z,3073,1.17067,1.17141,1.17046,1.17065
2018-07-17T01:00:00.000000000Z,5420,1.17066,1.17207,1.17006,1.17176
2018-07-17T05:00:00.000000000Z,10475,1.17174,1.17422,1.17098,1.17411
2018-07-17T09:00:00.000000000Z,11694,1.17408,1.17442,1.16903,1.16971
2018-07-17T13:00:00.000000000Z,16141,1.16972,1.17036,1.16524,1.16531
2018-07-17T17:00:00.000000000Z,6120,1.16530,1.16684,1.16485,1.16593
2018-07-17T21:00:00.000000000Z,3659,1.16569,1.16611,1.16475,1.16578
2018-07-18T01:00:00.000000000Z,5325,1.16571,1.16645,1.16404,1.16408
2018-07-18T05:00:00.000000000Z,14564,1.16410,1.16446,1.16064,1.16208
2018-07-18T09:00:00.000000000Z,13351,1.16212,1.16326,1.16012,1.16219
2018-07-18T13:00:00.000000000Z,12105,1.16221,1.16616,1.16209,1.16523
2018-07-18T17:00:00.000000000Z,3558,1.16524,1.16565,1.16362,1.16362
2018-07-18T21:00:00.000000000Z,5074,1.16356,1.16538,1.16340,1.16523
2018-07-19T01:00:00.000000000Z,7055,1.16522,1.16561,1.16392,1.16468
2018-07-19T05:00:00.000000000Z,17735,1.16464,1.16493,1.16012,1.16122
2018-07-19T09:00:00.000000000Z,16030,1.16127,1.16154,1.15741,1.15857
2018-07-19T13:00:00.000000000Z,12727,1.15856,1.16215,1.15842,1.16068
2018-07-19T17:00:00.000000000Z,21566,1.16063,1.16778,1.16049,1.16388
2018-07-19T21:00:00.000000000Z,7221,1.16423,1.16562,1.16378,1.16534
2018-07-20T01:00:00.000000000Z,14836,1.16534,1.16643,1.16255,1.16633
2018-07-20T05:00:00.000000000Z,17012,1.16628,1.16733,1.16327,1.16402
2018-07-20T09:00:00.000000000Z,22776,1.16406,1.17146,1.16400,1.17119
2018-07-20T13:00:00.000000000Z,19436,1.17120,1.17226,1.17009,1.17085
2018-07-20T17:00:00.000000000Z,7707,1.17085,1.17379,1.17066,1.17197
2018-07-22T21:00:00.000000000Z,6166,1.17236,1.17460,1.17204,1.17433
2018-07-23T01:00:00.000000000Z,6479,1.17432,1.17501,1.17313,1.17330
2018-07-23T05:00:00.000000000Z,11382,1.17329,1.17421,1.17037,1.17058
2018-07-23T09:00:00.000000000Z,9041,1.17059,1.17271,1.16861,1.17178
2018-07-23T13:00:00.000000000Z,11523,1.17177,1.17219,1.16907,1.16990
2018-07-23T17:00:00.000000000Z,6049,1.16986,1.17071,1.16829,1.16884
2018-07-23T21:00:00.000000000Z,6830,1.16876,1.16946,1.16827,1.16922
2018-07-24T01:00:00.000000000Z,6538,1.16922,1.17012,1.16748,1.16758
2018-07-24T05:00:00.000000000Z,13069,1.16757,1.17039,1.16539,1.16838
2018-07-24T09:00:00.000000000Z,10640,1.16838,1.17158,1.16801,1.16934
2018-07-24T13:00:00.000000000Z,13442,1.16933,1.17162,1.16736,1.16816
2018-07-24T17:00:00.000000000Z,5554,1.16815,1.16885,1.16726,1.16801
2018-07-24T21:00:00.000000000Z,3347,1.16784,1.16924,1.16754,1.16874
2018-07-25T01:00:00.000000000Z,5906,1.16872,1.16976,1.16746,1.16774
2018-07-25T05:00:00.000000000Z,10107,1.16774,1.16991,1.16770,1.16957
2018-07-25T09:00:00.000000000Z,8866,1.16957,1.17046,1.16852,1.16990
2018-07-25T13:00:00.000000000Z,16521,1.16988,1.17115,1.16635,1.16779
2018-07-25T17:00:00.000000000Z,15633,1.16783,1.17381,1.16761,1.17269
2018-07-25T21:00:00.000000000Z,4929,1.17297,1.17384,1.17197,1.17345
2018-07-26T01:00:00.000000000Z,4813,1.17347,1.17432,1.17290,1.17305
2018-07-26T05:00:00.000000000Z,10203,1.17306,1.17423,1.17104,1.17132
2018-07-26T09:00:00.000000000Z,16235,1.17129,1.17304,1.16916,1.16936
2018-07-26T13:00:00.000000000Z,18257,1.16934,1.16994,1.16482,1.16627
2018-07-26T17:00:00.000000000Z,5679,1.16632,1.16635,1.16391,1.16391
2018-07-26T21:00:00.000000000Z,3106,1.16391,1.16447,1.16370,1.16413
2018-07-27T01:00:00.000000000Z,3799,1.16412,1.16547,1.16372,1.16471
2018-07-27T05:00:00.000000000Z,9330,1.16471,1.16571,1.16240,1.16255
2018-07-27T09:00:00.000000000Z,11879,1.16250,1.16415,1.16197,1.16385
2018-07-27T13:00:00.000000000Z,13137,1.16383,1.16614,1.16359,1.16575
2018-07-27T17:00:00.000000000Z,4744,1.16575,1.16637,1.16509,1.16538
2018-07-29T21:00:00.000000000Z,2804,1.16540,1.16644,1.16520,1.16595
2018-07-30T01:00:00.000000000Z,2767,1.16592,1.16612,1.16491,1.16545
2018-07-30T05:00:00.000000000Z,7624,1.16550,1.16764,1.16477,1.16755
2018-07-30T09:00:00.000000000Z,6849,1.16751,1.16949,1.16738,1.16944
2018-07-30T13:00:00.000000000Z,9061,1.16941,1.17181,1.16909,1.17149
2018-07-30T17:00:00.000000000Z,3415,1.17149,1.17167,1.17020,1.17023
2018-07-30T21:00:00.000000000Z,2842,1.17029,1.17105,1.17003,1.17086
2018-07-31T01:00:00.000000000Z,5563,1.17081,1.17183,1.16987,1.17154
2018-07-31T05:00:00.000000000Z,10219,1.17159,1.17307,1.17071,1.17250
2018-07-31T09:00:00.000000000Z,8655,1.17250,1.17455,1.17133,1.17270
2018-07-31T13:00:00.000000000Z,16248,1.17265,1.17279,1.16914,1.17046
2018-07-31T17:00:00.000000000Z,5215,1.17046,1.17053,1.16816,1.16880
2018-07-31T21:00:00.000000000Z,4784,1.16900,1.16923,1.16805,1.16893
2018-08-01T01:00:00.000000000Z,3595,1.16892,1.16909,1.16752,1.16768
2018-08-01T05:00:00.000000000Z,9036,1.16767,1.16933,1.16716,1.16814
2018-08-01T09:00:00.000000000Z,8523,1.16815,1.16990,1.16766,1.16898
2018-08-01T13:00:00.000000000Z,12258,1.16898,1.16913,1.16594,1.16667
2018-08-01T17:00:00.000000000Z,8007,1.16667,1.16772,1.16568,1.16568
2018-08-01T21:00:00.000000000Z,2429,1.16559,1.16650,1.16559,1.16610
2018-08-02T01:00:00.000000000Z,3776,1.16612,1.16669,1.16443,1.16466
2018-08-02T05:00:00.000000000Z,7807,1.16462,1.16533,1.16174,1.16191
2018-08-02T09:00:00.000000000Z,12724,1.16190,1.16299,1.16006,1.16258
2018-08-02T13:00:00.000000000Z,10304,1.16256,1.16317,1.16052,1.16086
2018-08-02T17:00:00.000000000Z,6198,1.16085,1.16091,1.15809,1.15829
2018-08-02T21:00:00.000000000Z,3802,1.15857,1.15897,1.15787,1.15875
2018-08-03T01:00:00.000000000Z,2699,1.15873,1.15928,1.15806,1.15913
2018-08-03T05:00:00.000000000Z,8683,1.15907,1.15942,1.15592,1.15785
2018-08-03T09:00:00.000000000Z,15466,1.15785,1.16102,1.15719,1.15948
2018-08-03T13:00:00.000000000Z,15587,1.15948,1.16025,1.15585,1.15946
2018-08-03T17:00:00.000000000Z,5264,1.15950,1.15950,1.15628,1.15644
2018-08-05T21:00:00.000000000Z,2695,1.15663,1.15701,1.15564,1.15614
2018-08-06T01:00:00.000000000Z,3010,1.15612,1.15679,1.15554,1.15566
2018-08-06T05:00:00.000000000Z,7363,1.15561,1.15687,1.15487,1.15571
2018-08-06T09:00:00.000000000Z,7600,1.15566,1.15639,1.15291,1.15418
2018-08-06T13:00:00.000000000Z,7781,1.15418,1.15700,1.15400,1.15615
2018-08-06T17:00:00.000000000Z,3312,1.15619,1.15626,1.15474,1.15517
2018-08-06T21:00:00.000000000Z,4281,1.15526,1.15614,1.15476,1.15602
2018-08-07T01:00:00.000000000Z,2485,1.15604,1.15629,1.15543,1.15571
2018-08-07T05:00:00.000000000Z,7807,1.15577,1.15902,1.15507,1.15868
2018-08-07T09:00:00.000000000Z,7427,1.15870,1.16077,1.15826,1.16029
2018-08-07T13:00:00.000000000Z,8113,1.16030,1.16056,1.15852,1.15930
2018-08-07T17:00:00.000000000Z,4067,1.15934,1.15991,1.15816,1.15972
2018-08-07T21:00:00.000000000Z,2457,1.15978,1.16071,1.15920,1.16003
2018-08-08T01:00:00.000000000Z,3090,1.15997,1.16273,1.15991,1.16233
2018-08-08T05:00:00.000000000Z,7625,1.16232,1.16270,1.15836,1.15879
2018-08-08T09:00:00.000000000Z,8103,1.15875,1.16032,1.15725,1.15808
2018-08-08T13:00:00.000000000Z,8774,1.15808,1.16083,1.15800,1.15943
2018-08-08T17:00:00.000000000Z,3763,1.15940,1.16192,1.15940,1.16096
2018-08-08T21:00:00.000000000Z,2399,1.16094,1.16138,1.16051,1.16070
2018-08-09T01:00:00.000000000Z,3775,1.16074,1.16185,1.16005,1.16053
2018-08-09T05:00:00.000000000Z,7891,1.16047,1.16150,1.15753,1.15922
2018-08-09T09:00:00.000000000Z,6921,1.15926,1.16070,1.15862,1.15989
2018-08-09T13:00:00.000000000Z,9956,1.15988,1.15988,1.15551,1.15567
2018-08-09T17:00:00.000000000Z,5504,1.15571,1.15587,1.15247,1.15248
2018-08-09T21:00:00.000000000Z,4166,1.15264,1.15346,1.15152,1.15337
2018-08-10T01:00:00.000000000Z,3164,1.15331,1.15361,1.15151,1.15153
2018-08-10T05:00:00.000000000Z,34352,1.15153,1.15207,1.14316,1.14567
2018-08-10T09:00:00.000000000Z,18749,1.14565,1.14820,1.14347,1.14434
2018-08-10T13:00:00.000000000Z,23597,1.14438,1.14484,1.13926,1.14017
2018-08-10T17:00:00.000000000Z,10036,1.14017,1.14271,1.13875,1.14089
